ProjectStatisticsTable-ProjectStatisticsTable-SerialNumber,ProjectStatisticsTable-ProjectStatisticsTable-ProjectName:-ContractNumber,ProjectStatisticsTable-ProjectStatisticsTable-CustomerName,ProjectStatisticsTable-ProjectStatisticsTable-CustomerUnit,ProjectStatisticsTable-ProjectStatisticsTable-ContactInformation,ProjectStatisticsTable-ProjectStatisticsTable-Numberofcustomers:-ProjectName,ProjectStatisticsTable-ProjectStatisticsTable-Quantity,ProjectStatisticsTable-ProjectStatisticsTable-ProjectStartTime,ProjectStatisticsTable-ProjectStatisticsTable-EstimatedEndTime,ProjectStatisticsTable-ProjectStatisticsTable-Estimatedrequiredduration,ProjectStatisticsTable-ProjectStatisticsTable-Status,ProjectStatisticsTable-ProjectStatisticsTable-Statistician,ProjectStatisticsTable-ProjectStatisticsTable-Notes,Unnamed: 13,Quicksearch(Enterorselectcontractnumber),Quicksearch(Enterorselectcontractnumber).1
,DH1029331,Rice Husk 1,China Aviation,180xxxx1021,Robot Trolley,10 sets,10/3/2021,12/12/2021,,Completed,Zhang Xiaomei,,,"Quick search  
(Enter or select contract number)","Quick search  
(Enter or select contract number)"
,DH1029332,Rice Husk 2,Cheng Wei,180xxxx1022,Medical Trolley Cart,20 sets,9/12/2021,12/5/2021,,Completed,Zhang Xiaomei,,,DH1029332,DH1029332
,DH1029333,Rice Husk 3,eight hundred and ninety,180xxxx1023,Handle,200 sets,7/23/2021,11/19/2021,,Completed,Zhang Xiaomei,,,,
,DH1029334,Rice Husk 4,Achievement of Martial Officers,180xxxx1024,Portable machine,150 sets,8/23/2021,12/19/2021,,Completed,Zhang Xiaomei,,,Find customer contact information,Find customer contact information
,DH1029335,Rice Husk 5,Smiley face,180xxxx1025,Transportation Robot,230 sets,9/28/2021,12/28/2021,,In progress,Zhang Xiaomei,,,Customer Name,Contact Information
,DH1029336,Rice Husk 6,Southeast Lathe Factory,180xxxx1026,Welcoming Robot,35 sets,9/29/2021,12/29/2021,,In progress,Zhang Xiaomei,,,Rice Husk 1,
,DH1029337,Rice Husk 7,Henan Modification No. 1,180xxxx1027,Whole Vehicle Mock-up,50 sets,11/10/2021,12/24/2021,,In progress,Zhang Xiaomei,,,Rice Husk 2,
,,,,,,,,,,,,,,Rice Husk 3,
,,,,,,,,,,,,,,Rice Husk 4,
,,,,,,,,,,,,,,Rice Husk 5,
,,,,,,,,,,,,,,Rice Husk 6,
,,,,,,,,,,,,,,Rice Husk 7,
