RedStarDepartmentStoreSmallApplianceCounterJuneSalesList-Date,ProductCode,CommodityName,Manufacturer,Salesperson,UnitPrice,Quantity,Subtotal
2009/6/1,109,Voice Recorder,Huachi Information,Liu Song,136,13,
2009/6/2,104,Vacuum cleaner,Philips,Xiao Shan,876,19,
2009/6/3,106,Humidifier,Gree Electric Appliances,Chen Gong,387,35,
2009/6/4,110,Water Dispenser,Midea Electrical Appliances,Lü Jing,234,17,
2009/6/5,107,Rice cooker,Changhong Appliances,Wang Zhong,127,9,
2009/6/6,105,Ceramic Cooker,Haier Appliances,Bai Yan,584,62,
2009/6/7,104,Vacuum cleaner,Philips,Xiao Shan,876,21,
2009/6/8,109,Voice Recorder,Huachi Information,Liu Song,136,8,
2009/6/9,106,Humidifier,Gree Electric Appliances,Chen Gong,387,13,
2009/6/10,107,Rice cooker,Changhong Appliances,Wang Zhong,127,35,
