Serial Number,Student Name,Single-choice questions (20 points),Multiple Choice Questions (20 points),True/False Questions (10 points),Short Answer Questions (20 points),Case Analysis Question (15 points),Chart Question (15 points),Total Score (100 points)
1,Zhang San,18,16,9,17,13,14,97
2,Li Si,16,18,8,18,12,12,94
3,Wang Wu,17,17,7,18,14,14,97
4,Zhao Liu,18,16,9,19,13,15,100
5,Sun Qi,16,18,8,17,14,13,94
6,Zhou Ba,15,19,7,16,15,12,94
7,Wu Jiu,18,16,9,17,13,14,97
8,Zheng Shi,16,18,8,18,12,12,94
9,Chen Yi,17,17,7,18,14,14,94
10,Lin Er,18,16,9,19,13,15,100
11,Wang Shiyi,12,13,6,14,12,13,70
12,Li Shier,10,16,5,15,13,11,70
13,Zhang Shisan,11,14,7,13,12,13,70
14,Zhao Sishi,13,12,6,16,10,13,70
15,Wang Shiwu,14,11,5,17,9,14,70
16,Sun Shiliu,10,15,5,14,10,12,66
17,Zhou Shiqi,12,13,6,16,9,11,67
18,Wu Shiba,11,14,7,15,10,10,67
19,Zheng Shijiu,13,12,6,14,10,12,67
20,Chen Ershi,10,15,5,16,9,12,67
21,Wang Ershiyi,8,10,4,10,7,9,48
22,Li Ershier,9,13,5,12,10,10,59
23,Zhang Ershisan,12,14,6,15,11,12,60
24,Zhao Sishi,14,16,7,17,12,13,79
25,Wang Ershiwu,15,18,8,19,13,14,87
26,Sun Ershiliu,10,15,5,14,10,12,66
27,Tuesday Seventeen,11,13,6,16,9,11,66
28,Wu Ershiba,13,12,6,14,10,10,65
29,Zheng Ershiu,12,14,7,13,10,13,69
30,Chen Sanshi,10,15,5,16,9,12,67
